datetime,temp_mean,temp_min,temp_max
2022-11-19,16.99826388888889,8.65,25.35
2022-11-20,18.231944444444444,9.7,25.95
2022-11-21,21.13125,14.55,29.05
2022-11-22,17.488194444444446,11.75,24.05
2022-11-23,17.173958333333335,9.35,25.5
2022-11-24,16.560416666666665,10.7,20.75
2022-11-25,16.454513888888886,10.5,21.4
2022-11-26,14.963541666666666,9.45,19.95
2022-11-27,14.755555555555556,7.45,21.9
2022-11-28,17.170486111111114,8.9,24.0
2022-11-29,15.767708333333335,9.1,21.3
2022-11-30,14.297569444444443,7.35,22.9
2022-12-01,15.571874999999999,7.8,24.85
2022-12-02,14.112847222222221,6.25,22.9
2022-12-03,14.706944444444446,6.8,24.05
2022-12-04,14.782291666666667,7.55,22.65
2022-12-05,14.860763888888888,9.0,20.85
2022-12-06,14.052097902097902,8.5,20.1
2022-12-07,13.738129496402877,7.9,20.25
2022-12-08,13.666187050359712,6.4,21.55
2022-12-09,13.905434782608696,6.65,22.35
2022-12-10,14.961458333333333,8.35,24.1
2022-12-11,15.56076388888889,7.05,24.5
2022-12-12,16.171180555555555,8.6,23.9
2022-12-13,16.500694444444445,11.7,21.35
2022-12-14,14.653928571428573,9.25,21.15
2022-12-15,14.694444444444445,7.65,22.85
2022-12-16,14.960416666666667,8.05,24.55
2022-12-17,16.211111111111112,8.3,24.4
2022-12-18,17.309375000000003,9.95,23.9
2022-12-19,15.772058823529411,8.1,24.9
2022-12-20,13.290624999999999,5.4,20.65
2022-12-21,14.358333333333333,8.55,19.55
2022-12-22,12.903237410071942,6.15,20.3
2022-12-23,11.696874999999999,4.9,18.05
2022-12-24,12.67361111111111,10.4,16.2
2022-12-25,11.667708333333334,6.85,17.05
2022-12-26,11.182291666666666,9.55,14.25
2022-12-27,11.008680555555555,8.1,15.4
2022-12-28,11.13923611111111,6.1,16.9
2022-12-29,11.113565891472868,5.1,17.55
2022-12-30,10.884883720930233,3.9,17.25
2022-12-31,11.31076388888889,5.15,17.7
2023-01-01,13.28298611111111,5.85,17.5
2023-01-02,13.479513888888889,10.05,16.75
2023-01-03,13.176736111111111,9.25,18.25
2023-01-04,11.653472222222222,6.4,17.1
2023-01-05,11.543402777777779,6.6,17.5
2023-01-06,11.364583333333334,5.55,17.8
2023-01-07,10.93611111111111,5.8,17.7
2023-01-08,11.091319444444444,5.4,17.65
2023-01-09,11.205555555555556,6.8,15.4
2023-01-10,10.939583333333333,6.25,17.55
2023-01-11,11.527430555555556,5.8,18.5
2023-01-12,12.280208333333333,7.8,17.1
2023-01-13,10.702083333333333,5.3,16.65
2023-01-14,11.471875,6.3,16.9
2023-01-15,11.493402777777778,5.9,18.3
2023-01-16,10.811458333333333,4.05,16.75
2023-01-17,10.536111111111111,3.7,18.25
2023-01-18,11.2,4.3,20.4
2023-01-19,13.371875,5.0,21.15
2023-01-20,14.427430555555556,6.75,22.85
2023-01-21,10.784027777777778,3.55,18.75
2023-01-22,12.940277777777778,6.7,19.0
2023-01-23,13.297222222222222,6.65,21.4
2023-01-24,14.152777777777779,7.3,22.1
2023-01-25,11.840972222222222,5.4,19.7
2023-01-26,11.004166666666666,4.0,19.65
2023-01-27,16.191319444444446,5.7,23.85
2023-01-28,19.14409722222222,12.05,26.7
2023-01-29,14.835416666666667,9.75,20.3
2023-01-30,12.734027777777778,8.35,18.45
